userNum,nickname,gameId,seasonId,gameRank,character,weapon,itemWeapon,itemChest,itemHead,itemArm,itemLeg,Trait_Main1,Trait_Main2,Trait_Sub1,Trait_Sub2,TeamKill,Kill,Death,Assist,Dmg_Player,Dmg_Monster
3604479,penguingrill,46678118,31,8,Garnet,Bat,Spy_Umbrella,Ghost_Bride's_Dress,Helm_of_Banneret,Burnished_Aegis,Steel_Knee_Pads,Thorn_Shackles,Penny_Pincher,Painkiller,Dine_n'_Dash,4,0,1,2,7601,47602
2891079,Undying,46678118,31,4,Katja,Sniper_Rifle,Blackfire_Cannon,Tactical_Armor,Chinese_Opera_Mask,Chain_of_Thorns,Mirage_Lace-Ups,Stopping_Power,Overwatch,Dismantle_Goliath,Anima_Reaper,5,3,1,1,15616,65923
2872770,끼물,46678118,31,4,Shoichi,Dagger,Eclipse,Couturier,Chinese_Opera_Mask,Pharaoh's_Artifact,Legs_of_Steel,Frenzy,Anima_Reaper,Unwavering_Mentality,Cavalcade,5,2,3,1,6570,114067
2862218,llIIlIlIIlIl,46678118,31,7,Hisui,Two-handed_Sword,Monohoshizao,Áo_Dài,Welding_Helmet,Plasma_Arc,White_Rhinos,Contempt_for_the_Weak,Anima_Reaper,Unwavering_Mentality,Cavalcade,10,1,4,3,16327,32496
2674373,前妻,46678118,31,1,Adriana,Throw,Astrapē,Blood_Cloak,Persona,Nightmare_Nails,Delta_Red,Open_Wounds,R_echarger,Dismantle_Goliath,Anima_Reaper,17,3,3,10,29443,62708
2051088,도지훈,46678118,31,8,Justyna,Crossbow,Phantom_Bolt,Blood_Cloak,Persona,Corrupting_Touch,Delta_Red,Open_Wounds,Power_Crescendo,Coin_Toss,Penny_Pincher,4,2,2,1,14896,49052
1776315,abconl,46678118,31,3,Haze,Assault_Rifle,Valkyrie,Inquisitor,Astronaut's_Helmet,Eye_of_Horus,Tachyon_Brace,Stopping_Power,Power_Crescendo,Contempt_for_the_Weak,Anima_Reaper,3,0,5,3,11017,43818
1729906,뱌나,46678118,31,6,Vanya,Arcana,The_Empress,Holy_Orders,Astronaut's_Helmet,Tindalos_Band,Legs_of_Steel,Frenzy,Anima_Reaper,Embolden,Dine_n'_Dash,12,5,3,7,16275,42804
1376944,Casval,46678118,31,3,Yuki,Two-handed_Sword,Aurora_Longsword,Spectral_Jacket,Helm_of_Banneret,Laced_Quiver,Wild_Walkers,Painkiller,Dine_n'_Dash,Circular_System,Overwatch,3,2,2,0,8854,42861
1169313,새우로고래삼키기,46678118,31,5,Leni,Pistol,Elegance,Elf_Dress,Commander_Headset,Nightingale,Tachyon_Brace,Coin_Toss,Penny_Pincher,Circular_System,R_echarger,19,2,1,16,13226,29907
906654,나태의천사,46678118,31,1,Luke,Bat,Monkey_King_Bar,Omertà,Tactical_Visor,Auto-arms,Red_Shoes,Embolden,Cavalcade,Frenzy,Anima_Reaper,17,9,3,6,23367,59508
750800,탱글뽀옹알,46678118,31,2,Karla,Crossbow,Phantom_Bolt,Holy_Orders,Racing_Helmet,Tellurian_Timepiece,Gladiator,Contempt_for_the_Weak,Anima_Reaper,Unwavering_Mentality,Cavalcade,5,1,4,3,12620,53742
265744,더드,46678118,31,3,Barbara,Pistol,Altair,Kabana,Persona,Tindalos_Monarch,Killer_Heels,Coin_Toss,Penny_Pincher,Open_Wounds,Power_Crescendo,3,1,5,2,28246,117424
2104,Cardboard,46678118,31,8,Kenneth,Axe,Axe_of_Pangu,Racing_Suit,Tactical_Visor,Plasma_Arc,Mythril_Boots,Embolden,Dine_n'_Dash,Circular_System,Power_Crescendo,4,2,2,1,6287,34158
5483809,Pieck,46678050,0,8,Emma,Shuriken,Fuhma_Shuriken,Commander's_Armor,Persona,Corrupting_Touch,SCV,Circular_System,R_echarger,Unwavering_Mentality,Cavalcade,9,2,4,3,9795,17128
5462932,Rokke,46678050,0,1,Vanya,Arcana,The_Death_-_Dawn,Holy_Orders,Fencing_Mask,Tindalos_Monarch,Legs_of_Steel,Frenzy,Anima_Reaper,Embolden,Dine_n'_Dash,13,2,1,8,7690,36144
5383963,파이퍼휠,46678050,0,5,Celine,Throw,Ruthenium_Marble,Blood_Cloak,Persona,Bracelet_of_Skadi,Legs_of_Steel,Stopping_Power,Power_Crescendo,Contempt_for_the_Weak,Anima_Reaper,14,4,4,6,10171,44153
5257451,갈X,46678050,0,1,Camilo,Dual_Swords,Phantom_Blade_-_Crimson,Phantom_Jacket,Legatus,Radar,Racing_Boots,Frenzy,Anima_Reaper,Painkiller,Cavalcade,13,9,1,3,22704,150481
5216788,nonenon,46678050,0,3,Rio,Bow,Twinbow,Specter,Legatus,Radar,Stellar_Steps,Dismantle_Goliath,Anima_Reaper,Stopping_Power,Power_Crescendo,5,1,3,4,6646,79906
5005855,페샤,46678050,0,2,Debi_&_Marlene,Two-handed_Sword,Aurora_Longsword,Phantom_Jacket,Commander_Headset,Moonlight_Pendant,Wild_Walkers,Camping_Guide,Penny_Pincher,Embolden,Dine_n'_Dash,8,2,2,5,10830,107257
4930709,中二丶无心,46678050,0,7,Haze,Assault_Rifle,Gold_Rush,Blood_Cloak,Imperial_Burgonet,Nightmare_Nails,Delta_Red,Open_Wounds,Power_Crescendo,Dismantle_Goliath,Anima_Reaper,9,3,4,3,7317,39623
4733798,yumemin,46678050,0,4,Yuki,Two-handed_Sword,Aurora_Longsword,Spectral_Jacket,Helm_of_Banneret,Auto-arms,Wild_Walkers,Painkiller,Dine_n'_Dash,Circular_System,Overwatch,5,2,2,3,6893,48839
4501945,moyu233,46678050,0,6,Irem,Throw,Sticky_Bomb,Holy_Orders,Imperial_Crown,Eye_of_Horus,Delta_Red,Stopping_Power,Overwatch,Contempt_for_the_Weak,Endorphin,7,3,2,1,7526,23473
4414670,nkkmdmr,46678050,0,2,Bianca,Arcana,The_Moon,Elegant_Gown,Persona,Nightmare_Nails,Legs_of_Steel,Thrill_of_the_Hunt,Penny_Pincher,Open_Wounds,Power_Crescendo,8,3,4,2,9037,31915
4256256,나하나도안취했어,46678050,0,4,Karla,Crossbow,Blood_Half_Moon_-_Dawn,Holy_Orders,Racing_Helmet,Tellurian_Timepiece,Racing_Boots,Contempt_for_the_Weak,Anima_Reaper,Unwavering_Mentality,Cavalcade,5,3,1,0,4295,124239
4189667,マツケンサンバ,46678050,0,3,Elena,Rapier,Sword_of_Justice,Blazing_Dress,Commander_Headset,Burnished_Aegis,Wild_Walkers,Painkiller,Cavalcade,Coin_Toss,Penny_Pincher,5,1,3,3,5816,41170
3664089,カレンチャン,46678050,0,4,Debi_&_Marlene,Two-handed_Sword,Laevateinn,Butler's_Suit,Tactical_OPS_Helmet,Helix,Blade_Boots,Frenzy,Endorphin,Painkiller,Dine_n'_Dash,5,0,3,1,6560,41498
2056159,당선,46678050,0,8,Zahir,Throw,Incendiary_Bomb,Cardinal_Robes,Fencing_Mask,Tindalos_Band,Tachyon_Brace,Dismantle_Goliath,Anima_Reaper,Circular_System,Overwatch,9,3,2,1,9065,33932
1483678,快楽天VFD,46678050,0,5,Estelle,Axe,Beam_Axe,Blazing_Dress,Astronaut's_Helmet,Corrupting_Touch,Hiking_Boots,Thorn_Shackles,Penny_Pincher,Painkiller,Steadfast,14,3,2,10,10539,48747
1280692,그만하셈,46678050,0,8,Kenneth,Axe,Axe_of_Pangu,Turnout_Coat,Tactical_OPS_Helmet,Smart_Band,White_Rhinos,Embolden,Dine_n'_Dash,Stopping_Power,Overwatch,9,4,1,4,11385,34291
784497,으르,46678050,0,3,Luke,Bat,Mallet,Tactical_Armor,Diadem,Necronomicon,Red_Shoes,Contempt_for_the_Weak,Anima_Reaper,Coin_Toss,Penny_Pincher,5,3,4,1,11380,111397
713154,이상윤윤,46678050,0,5,Tsubame,Shuriken,Petal_Torrent,Beautiful_Garment,Legatus,Dice_of_Destiny,Gladiator,Dismantle_Goliath,Anima_Reaper,Unwavering_Mentality,Cavalcade,14,7,2,5,17366,61521
527347,艾絲黛爾,46678050,0,7,Isol,Assault_Rifle,Elegance,Commander's_Armor,Imperial_Burgonet,Corrupting_Touch,Delta_Red,Open_Wounds,Overwatch,Dismantle_Goliath,Anima_Reaper,9,0,4,3,6124,42018
335066,deGrom,46678050,0,1,Nadine,Bow,Argyrotoxus,Holy_Orders,Motorcycle_Helmet,Tellurian_Timepiece,Glacial_Shoes,Dismantle_Goliath,Anima_Reaper,Stopping_Power,Overwatch,13,2,3,7,10459,95155
101066,궁서체로,46678050,0,6,Debi_&_Marlene,Two-handed_Sword,Excalibur,Phantom_Jacket,Commander_Headset,Chain_of_Thorns,White_Rhinos,Coin_Toss,Penny_Pincher,Embolden,Cavalcade,7,4,1,2,12238,27958
97906,KHajin,46678050,0,7,Justyna,Crossbow,Phantom_Bolt,Inquisitor,Sultan's_Turban,Tindalos_Band,Delta_Red,Open_Wounds,Power_Crescendo,Contempt_for_the_Weak,Anima_Reaper,9,6,2,2,10286,31851
50353,みるくてぃー,46678050,0,2,Katja,Sniper_Rifle,Widow_Maker,Specter,Blood_Crown,Dice_of_Destiny,Racing_Boots,Dismantle_Goliath,Anima_Reaper,Coin_Toss,Penny_Pincher,8,3,4,3,17980,93681
26850,祭祈,46678050,0,6,Lenore,Guitar,Purple_Haze,Blood_Cloak,Persona,Tindalos_Band,Glacial_Shoes,Stopping_Power,Power_Crescendo,Dismantle_Goliath,Anima_Reaper,7,0,6,5,9689,16374
2947982,konohana,46678115,0,1,Jackie,Dagger,Phantom_Blade_-_Crimson,Tactical_Armor,Laurel_Wreath,Dice_of_Destiny,Eldian_Boots,,,Haste_III,Money_=_Power_III,0,13,7,4,35586,8171
2171504,금만두,46678115,0,2,Magnus,Hammer,Peacebringer_-_Dawn,Holy_Orders,The_Dragon’s_Fury,Nova_Shield,Rose_Steps,,,7N39,Cooldown_Reduction_Ill,0,6,8,14,26977,4212
1156363,안제,46678115,0,2,Adriana,Throw,Chaser_-_Dawn,Queen_of_Hearts,Persona,Dragon_Scale,Rose_Steps,,,Omnipotence,Melter,0,7,5,11,31055,19381
1105943,캐시눈나다리헤응,46678115,0,1,Nathapon,Camera,Vision_Flex_-_Dawn,Inquisitor,Persona,Dragon_Scale,Rose_Steps,,,Omnipotence,7N39,0,6,8,16,25381,7737
394566,code20,46678115,0,1,Cathy,Dagger,Scarlet_Dagger_-_Dawn,Queen_of_Hearts,Persona,Dragon_Scale,Rose_Steps,,,Cooldown_Reduction_I,Overwhelming_Strength,0,8,7,8,18142,14902
346085,리에또,46678115,0,1,Eva,Throw,Chaser,Holy_Orders,The_Dragon’s_Fury,Dragon_Scale,Red_Shoes,,,Omnipotence,7N39,0,3,4,17,36424,13709
325547,HaiseQs,46678115,0,2,Debi_&_Marlene,Two-handed_Sword,Dáinsleif_-_Crimson,Tactical_Armor,Eyeshield,Helix,Red_Shoes,,,Noxious_Aftermath,Vigor_III,0,7,6,6,26909,31696
165794,Seorin,46678115,0,2,Tia,Bat,Rod_of_Heart_-_Dawn,Holy_Orders,Astronaut's_Helmet,Dragon_Scale,Rose_Steps,,,Omnipotence,Money_=_Power_III,0,6,11,17,35268,25942
5478133,さなもん,46678955,31,8,Hisui,Two-handed_Sword,Monohoshizao,Butler's_Suit,Welding_Helmet,Mythril_Quiver,White_Rhinos,Frenzy,Anima_Reaper,Painkiller,Dine_n'_Dash,2,1,2,0,10253,56372
5171108,황갈색올빼미,46678955,31,2,Hyunwoo,Glove,Obsidian_Jitte,Holy_Orders,Sultan's_Turban,Necronomicon,Glacial_Shoes,Stopping_Power,Power_Crescendo,Thorn_Shackles,Penny_Pincher,6,2,1,3,15746,53207
4437596,박쟁민,46678955,31,5,Adela,Rapier,Rod_of_Heart_-_Crimson,Holy_Orders,Imperial_Crown,Dragon_Scale,Rose_Steps,Contempt_for_the_Weak,Anima_Reaper,Stopping_Power,Overwatch,7,1,3,4,9593,62774
4432875,가로오,46678955,31,5,Garnet,Bat,Pakua_Chang,Ghost_Bride's_Dress,Mythril_Helm,Burning_Heart,Tachyon_Brace,Camping_Guide,Penny_Pincher,Painkiller,Dine_n'_Dash,7,4,2,2,12460,25227
4290104,로스티오,46678955,31,5,Luke,Bat,Monkey_King_Bar,Tactical_Armor,Blaster_Helmet,Chain_of_Thorns,Mirage_Lace-Ups,Contempt_for_the_Weak,Anima_Reaper,Stopping_Power,Overwatch,7,2,5,4,13122,81717
3934883,首尔Uzi,46678955,31,4,Katja,Sniper_Rifle,Andromeda,Ghillie_Suit,Blood_Crown,Dice_of_Destiny,Galaxy_Steps,Dismantle_Goliath,Anima_Reaper,Stopping_Power,Power_Crescendo,9,4,1,4,12091,67776
3900818,요술공주뿌뿌,46678955,31,7,Garnet,Bat,Spy_Umbrella,Ghost_Bride's_Dress,Commander_Headset,Schrödinger's_Box,Steel_Knee_Pads,Coin_Toss,Penny_Pincher,Painkiller,Dine_n'_Dash,6,2,3,3,11673,27324
1736771,fghvfgbh,46678955,31,2,Hart,Guitar,Free_Bird,Specter,Blaster_Helmet,Dice_of_Destiny,Racing_Boots,Dismantle_Goliath,Anima_Reaper,Stopping_Power,Power_Crescendo,6,0,4,5,8736,85297
1311718,もりもりの森,46678955,31,8,Priya,Guitar,Cpt._Pepper,Commander's_Armor,Celestial_Echo,Pharaoh's_Artifact,Delta_Red,Stopping_Power,Overwatch,Thrill_of_the_Hunt,Penny_Pincher,2,0,3,0,5644,52906
1295352,higaking,46678955,31,8,Barbara,Pistol,Elegance,Cardinal_Robes,The_Black_Death,Draupnir,Tachyon_Brace,Open_Wounds,R_echarger,Contempt_for_the_Weak,Anima_Reaper,2,1,3,0,13239,46473
1233387,앞날,46678955,31,1,Shoichi,Dagger,Scarlet_Dagger,Couturier,Persona,Tindalos_Monarch,Killer_Heels,Frenzy,Anima_Reaper,Unwavering_Mentality,Dine_n'_Dash,20,14,1,3,34505,74134
1200948,콩자반16세,46678955,31,1,Debi_&_Marlene,Two-handed_Sword,Laevateinn,Phantom_Jacket,Commander_Headset,Helix,Blade_Boots,Camping_Guide,Penny_Pincher,Embolden,Cavalcade,20,2,1,15,18713,49426
1023639,自行车竞然,46678955,31,3,Haze,Assault_Rifle,Valkyrie,Blood_Cloak,Persona,Nightmare_Nails,Delta_Red,Open_Wounds,Power_Crescendo,Dismantle_Goliath,Anima_Reaper,11,1,2,6,13228,54447
771653,Allergy,46678955,31,7,Tazia,Shuriken,Mystic_Jade_Charm,Couturier,Persona,Nightmare_Nails,Tachyon_Brace,Contempt_for_the_Weak,Anima_Reaper,Embolden,Cavalcade,6,4,2,1,10869,54757
758415,流螢果醬,46678955,31,2,Alex,Tonfa,Cards_of_Tyranny,Specter,Laurel_Wreath,Helix,Racing_Boots,Contempt_for_the_Weak,Anima_Reaper,Coin_Toss,Penny_Pincher,6,4,5,2,10747,66693
745012,Rema3,46678955,31,6,Estelle,Axe,Beam_Axe,Ghost_Bride's_Dress,Astronaut's_Helmet,Corrupting_Touch,Hiking_Boots,Thorn_Shackles,Penny_Pincher,Embolden,Cavalcade,9,2,2,7,7105,10810
707583,Icefond,46678955,31,6,Jackie,Dagger,Dioscuri,Wisdom_Robes,Legatus,Mythril_Armband,Racing_Boots,Unwavering_Mentality,Steadfast,Stopping_Power,Power_Crescendo,9,5,3,3,16761,49060
698157,물음표쨩,46678955,31,6,Leni,Pistol,Elegance,Elf_Dress,Commander_Headset,Nightingale,Delta_Red,Thorn_Shackles,Penny_Pincher,Circular_System,R_echarger,9,2,3,7,5382,12234
446496,복작복작,46678955,31,1,Lenore,Guitar,Heaven's_Door,Blood_Cloak,Sultan's_Turban,Dragon_Scale,Rose_Steps,Stopping_Power,Power_Crescendo,Dismantle_Goliath,Anima_Reaper,20,4,1,11,19085,50784
416403,검도부스시남,46678955,31,7,Abigail,Axe,Nephleon,The_Revenant,Imperial_Burgonet,Tindalos_Band,Delta_Red,Stopping_Power,Overwatch,Embolden,Cavalcade,6,0,3,0,5703,44644
45937,闪电旋风批,46678955,31,3,Yuki,Two-handed_Sword,Starsteel_Twin_Swords,Tactical_Armor,Diadem,Smart_Band,Racing_Boots,Stopping_Power,Power_Crescendo,Thorn_Shackles,Penny_Pincher,11,9,3,1,22948,69042
44232,哈利路大旋风,46678955,31,3,Markus,Axe,Axe_of_Pangu,Guardian_Suit,Tactical_OPS_Helmet,Burnished_Aegis,Hiking_Boots,Embolden,Dine_n'_Dash,Contempt_for_the_Weak,Carnivore,11,1,2,7,10655,10885
10218,理塘Faker,46678955,31,4,Emma,Shuriken,The_Moon,Blood_Cloak,Persona,Nightmare_Nails,SCV,Circular_System,R_echarger,Dismantle_Goliath,Anima_Reaper,9,2,6,6,27626,46277
10216,KrumAyna,46678955,31,4,Hisui,Two-handed_Sword,Aurora_Longsword,Áo_Dài,Blaster_Helmet,Laced_Quiver,Blade_Boots,Frenzy,Carnivore,Unwavering_Mentality,Dine_n'_Dash,9,3,3,4,15167,41717
5468653,환혼,46678778,31,1,Arda,Arcana,The_Death_-_Crimson,Kabana,Persona,Tindalos_Monarch,Rose_Steps,Stopping_Power,R_echarger,Contempt_for_the_Weak,Anima_Reaper,23,8,1,15,30353,88267
5138869,MOEGiuGiu,46678778,31,2,Leon,Glove,Permafrost,Inquisitor,Racing_Helmet,Tellurian_Timepiece,Blade_Boots,Contempt_for_the_Weak,Anima_Reaper,Embolden,Cavalcade,4,2,3,2,12739,56962
4634362,고수달44,46678778,31,5,Yuki,Two-handed_Sword,Dioscuri,Changpao,Blaster_Helmet,Chain_of_Thorns,Stellar_Steps,Stopping_Power,Power_Crescendo,Thorn_Shackles,Penny_Pincher,8,5,2,2,11324,45355
4596285,집에가고싶다67,46678778,31,2,Estelle,Axe,Beam_Axe,Ghost_Bride's_Dress,Astronaut's_Helmet,Claddagh_Ring,Wild_Walkers,Thorn_Shackles,Penny_Pincher,Embolden,Cavalcade,4,1,2,2,7094,24328
4282091,HaruHiiiii,46678778,31,1,Nicky,Glove,Iron_Fist,Elegant_Gown,Astronaut's_Helmet,Dragon_Scale,Wild_Walkers,Unwavering_Mentality,Dine_n'_Dash,Camping_Guide,Penny_Pincher,23,8,0,11,17467,52270
3998788,원챔헤야디,46678778,31,1,Magnus,Hammer,Hammer_of_Dagda,Spectral_Jacket,Mythril_Helm,Burning_Heart,Taproot,Painkiller,Dine_n'_Dash,Stopping_Power,R_echarger,23,7,0,12,20691,30788
3620432,별동자,46678778,31,2,Tia,Bat,Ghost_Hand,Blood_Cloak,Persona,Nightmare_Nails,Straitjacket_Sneakers,Contempt_for_the_Weak,Anima_Reaper,Circular_System,Overwatch,4,1,2,2,8811,89054
3169470,karibdrug1,46678778,31,3,Hisui,Two-handed_Sword,Dáinsleif,Áo_Dài,Welding_Helmet,Mythril_Quiver,Blade_Boots,Contempt_for_the_Weak,Anima_Reaper,Unwavering_Mentality,Cavalcade,8,2,6,5,23567,74857
2396722,ShIrOKuMA,46678778,31,6,Alonso,Glove,Permafrost,Sunset_Armor,Mohawk_Headgear,Burning_Heart,Tachyon_Brace,Thorn_Shackles,Penny_Pincher,Painkiller,Dine_n'_Dash,1,0,2,1,4678,12112
2172954,파아람,46678778,31,6,Justyna,Crossbow,Phantom_Bolt,Blood_Cloak,Imperial_Burgonet,Tindalos_Monarch,SCV,Open_Wounds,Power_Crescendo,Dismantle_Goliath,Anima_Reaper,1,0,2,1,12356,33485
2002564,하라독,46678778,31,3,Markus,Axe,Axe_of_Pangu,Guardian_Suit,Tactical_OPS_Helmet,Solar_System_Miniature,Hiking_Boots,Painkiller,Dine_n'_Dash,Camping_Guide,Penny_Pincher,8,3,5,4,9414,47069
1915401,지푸라기,46678778,31,4,Eleven,Hammer,Hammer_of_Dagda,Ghost_Bride's_Dress,Helm_of_Banneret,Sword_Stopper,Tachyon_Brace,Camping_Guide,Penny_Pincher,Painkiller,Dine_n'_Dash,1,0,1,1,1441,12170
1076362,전숙희,46678778,31,5,Abigail,Axe,Nephleon,The_Revenant,Vigilante,Corrupting_Touch,Steel_Knee_Pads,Stopping_Power,Overwatch,Embolden,Cavalcade,8,1,1,3,11905,26960
757770,25March,46678778,31,7,Li Dailin,Glove,Mark_of_the_Phoenix,Guardian_Suit,Helm_of_Banneret,Music_Box,Maverick_Runner,Camping_Guide,Penny_Pincher,Unwavering_Mentality,Steadfast,6,2,2,3,8338,10252
702142,올해도내꺼야,46678778,31,4,Nicky,Glove,Permafrost,Commander's_Armor,Fencing_Mask,Lunar_Embrace,Wild_Walkers,Coin_Toss,Penny_Pincher,Painkiller,Cavalcade,1,0,1,1,2734,46830
639078,악질개카,46678778,31,5,Hisui,Two-handed_Sword,Monohoshizao,Butler's_Suit,Blaster_Helmet,Laced_Quiver,White_Rhinos,Frenzy,Anima_Reaper,Painkiller,Dine_n'_Dash,8,2,3,2,12506,40812
520280,Ducati,46678778,31,3,Nicky,Glove,Iron_Fist,Elegant_Gown,Imperial_Burgonet,Veritas_Lux_Mea,Wild_Walkers,Unwavering_Mentality,Steadfast,Stopping_Power,Overwatch,8,3,3,4,8310,94066
500846,검하,46678778,31,7,Hyejin,Bow,Golden-Ratio_Bow,Commander's_Armor,Persona,Draupnir,Delta_Red,Thorn_Shackles,Penny_Pincher,Open_Wounds,Power_Crescendo,6,2,4,3,7595,18840
432289,Elmarr,46678778,31,6,Hisui,Two-handed_Sword,Aurora_Longsword,Changpao,Welding_Helmet,Plasma_Arc,White_Rhinos,Contempt_for_the_Weak,Anima_Reaper,Unwavering_Mentality,Cavalcade,1,1,2,0,2779,20640
265581,kanu00,46678778,31,7,Vanya,Arcana,The_Star,Holy_Orders,Imperial_Burgonet,Tindalos_Band,Straitjacket_Sneakers,Frenzy,Anima_Reaper,Embolden,Dine_n'_Dash,6,2,1,4,9136,13971
6356,농부의근성,46678778,31,4,Isol,Assault_Rifle,Endeavor_AX,Wisdom_Robes,Crystal_Tiara,Dice_of_Destiny,Gladiator,Contempt_for_the_Weak,Anima_Reaper,Stopping_Power,Power_Crescendo,1,1,1,0,4420,43676
5381175,카게,46678589,0,7,Irem,Throw,Sticky_Bomb,Elegant_Gown,Persona,Eye_of_Horus,Tachyon_Brace,Circular_System,Power_Crescendo,Contempt_for_the_Weak,Anima_Reaper,5,3,2,0,11613,32953
5272272,白洲Azusa,46678589,0,8,Magnus,Hammer,Hammer_of_Dagda,Spectral_Jacket,Helm_of_Banneret,Sword_Stopper,Tachyon_Brace,Painkiller,Dine_n'_Dash,Stopping_Power,R_echarger,5,3,2,2,12044,9069
5098305,레니건강마,46678589,0,3,Estelle,Axe,Scarlet_Scythe,The_Revenant,Astronaut's_Helmet,Burning_Heart,Wild_Walkers,Open_Wounds,Power_Crescendo,Painkiller,Cavalcade,15,7,3,4,32549,120205
4881851,CODN,46678589,0,3,Yuki,Two-handed_Sword,Dáinsleif_-_Crimson,Spectral_Jacket,Crusader_Helmet,Mythril_Quiver,Wild_Walkers,Painkiller,Cavalcade,Stopping_Power,Overwatch,15,6,1,3,16695,69979
4526612,Antaen,46678589,0,6,Luke,Bat,Monkey_King_Bar,Guardian_Suit,Tactical_OPS_Helmet,Plasma_Arc,White_Rhinos,Circular_System,Overwatch,Embolden,Dine_n'_Dash,1,0,1,0,2539,47069
4298043,얍찌,46678589,0,7,Mai,Whip,Thunder_Whip,Blazing_Dress,Commander_Headset,Burnished_Aegis,Tachyon_Brace,Thorn_Shackles,Penny_Pincher,Painkiller,Dine_n'_Dash,5,0,2,3,7100,16295
4257683,무지개사타당,46678589,0,6,Magnus,Hammer,Monkey_King_Bar,Optical_Camouflage_Suit,Crystal_Tiara,Dice_of_Destiny,Bucephalus,Contempt_for_the_Weak,Anima_Reaper,Painkiller,Cavalcade,1,1,2,0,3727,32461
3717439,브이스포,46678589,0,4,Felix,Spear,Gentian_Silver_Gun,Phantom_Jacket,Cowboy_Hat,Radar,Racing_Boots,Frenzy,Endorphin,Unwavering_Mentality,Steadfast,12,5,1,3,14686,93330
2295824,이렘은왜이렘,46678589,0,1,Irem,Throw,Chaser,Blood_Cloak,Sultan's_Turban,Dragon_Scale,Rose_Steps,Contempt_for_the_Weak,Endorphin,Stopping_Power,Overwatch,11,4,4,1,16689,85804
1674072,웃는시체들의산,46678589,0,2,Priya,Guitar,Heaven's_Door,Blood_Cloak,Harmony_in_Full_Bloom,Corrupting_Touch,Killer_Heels,Camping_Guide,Penny_Pincher,Open_Wounds,Overwatch,11,2,5,9,24201,54366
1362318,RnBel,46678589,0,4,Laura,Whip,Ouranos,Holy_Orders,Sultan's_Turban,Sports_Watch,Glacial_Shoes,Unwavering_Mentality,Cavalcade,Coin_Toss,Penny_Pincher,12,4,1,7,14224,70518
1316624,진메이,46678589,0,3,Priya,Guitar,Heaven's_Door,Blood_Cloak,Celestial_Echo,Necronomicon,Glacial_Shoes,Camping_Guide,Penny_Pincher,Open_Wounds,Overwatch,15,2,3,12,18602,106339
1266832,시공좋아99,46678589,0,1,Karla,Crossbow,Blood_Half_Moon_-_Dawn,Holy_Orders,Racing_Helmet,Tellurian_Timepiece,Racing_Boots,Contempt_for_the_Weak,Anima_Reaper,Unwavering_Mentality,Cavalcade,11,3,2,5,18674,117822
